char,char_repr,token_ids,decoded,is_unknown,num_tokens
 ,' ',[],,False,0
A,'A',[0],UNK,True,1
B,'B',[0],UNK,True,1
D,'D',[0],UNK,True,1
N,'N',[0],UNK,True,1
O,'O',[0],UNK,True,1
R,'R',[0],UNK,True,1
U,'U',[0],UNK,True,1
W,'W',[0],UNK,True,1
Y,'Y',[0],UNK,True,1
_,'_',[0],UNK,True,1
a,'a',[0],UNK,True,1
b,'b',[39],b,False,1
d,'d',[9],d,False,1
e,'e',[24],e,False,1
f,'f',[37],f,False,1
h,'h',[23],h,False,1
i,'i',[30],i,False,1
j,'j',[33],j,False,1
l,'l',[11],l,False,1
m,'m',[20],m,False,1
n,'n',[13],n,False,1
s,'s',[26],s,False,1
u,'u',[0],UNK,True,1
v,'v',[36],v,False,1
w,'w',[16],w,False,1
z,'z',[19],z,False,1
æ,'æ',[5],æ,False,1
ð,'ð',[4],ð,False,1
ŋ,'ŋ',[46],ŋ,False,1
ɐ,'ɐ',[42],ɐ,False,1
ɑ,'ɑ',[0],UNK,True,1
ɔ,'ɔ',[0],UNK,True,1
ə,'ə',[27],ə,False,1
ɜ,'ɜ',[0],UNK,True,1
ɡ,'ɡ',[7],ɡ,False,1
ɪ,'ɪ',[12],ɪ,False,1
ɹ,'ɹ',[29],ɹ,False,1
ʃ,'ʃ',[44],ʃ,False,1
ʊ,'ʊ',[8],ʊ,False,1
ʌ,'ʌ',[18],ʌ,False,1
ʒ,'ʒ',[50],ʒ,False,1
ː,'ː',[0],UNK,True,1
θ,'θ',[45],θ,False,1
